date,day_of_week,trust_code,trust_name,trust_type,total_beds,flu_rate_per_100k,temperature_c,gp_appointment_lag_days,ae_attendance,ae_4hr_breach_pct,ae_mean_wait_mins,ae_12hr_trolley_waits,social_care_delay_days,nctr_patients,bed_occupancy_pct,nurse_sickness_pct,unfilled_shifts,ambulance_handover_avg_mins,ambulance_handover_over_60min,red_flag_incidents,pressure_score,opel_level
26/04/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.8,11.9,8.7,307,0.093,126,0,16.5,47,0.883,0.067,5,18,0,1,0.531,3
27/04/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.9,12.6,7.4,293,0.075,106,0,16.8,40,0.869,0.056,4,17,0,0,0.423,2
28/04/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4,13.7,9.5,289,0.056,138,0,,49,0.884,0.046,4,15,0,3,0.528,3
29/04/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.2,11.6,8.6,253,0.068,107,0,13,51,0.879,0.045,5,15,0,3,0.536,3
30/04/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.8,13,9,252,0.057,128,0,,40,0.877,0.036,3,16,0,2,0.441,2
01/05/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.8,12.4,8.5,437,0.2,128,2,12.4,42,0.879,0.047,3,16,0,3,0.613,3
02/05/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.6,11.2,8.3,284,0.063,106,0,14.5,43,0.91,0.053,4,15,0,2,0.539,3
03/05/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.6,10.8,10.3,290,0.067,95,0,15,40,0.904,0.058,3,15,0,2,0.527,3
04/05/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.4,10.6,7.7,262,0.076,131,0,,48,0.884,0.044,5,16,0,1,0.488,2
05/05/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.3,10.8,9,396,0.139,153,0,13.3,42,0.902,0.047,3,15,0,1,0.551,3
06/05/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,3.1,13.5,8.4,291,0.071,126,0,,38,0.879,0.047,5,18,0,1,0.44,2
07/05/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.6,11.5,8.4,231,0.06,116,0,10.9,39,0.882,,6,12,0,0,0.404,2
08/05/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,12.4,8.9,403,0.19,130,1,9.2,32,0.856,0.048,4,16,0,1,0.478,2
09/05/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.1,12.9,9.1,311,0.097,121,0,9.9,30,0.843,,2,16,0,3,0.408,2
10/05/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.5,10.2,8.9,276,0.051,120,0,10.4,33,0.856,0.05,3,16,0,2,0.394,2
11/05/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.3,12.8,8.6,323,0.106,132,0,10.1,30,0.874,0.055,3,17,0,1,0.44,2
12/05/2023,Friday,WGH,Westbridge General Hospital,Acute,620,6,12.8,7.8,284,0.08,133,0,,36,0.878,0.056,3,14,0,2,0.476,2
13/05/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.5,13.5,8.3,229,0.086,122,0,12.1,39,0.874,0.054,3,16,0,2,0.483,2
14/05/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.1,13.8,7.9,241,0.085,126,0,11.6,37,0.869,0.046,4,11,0,2,0.454,2
15/05/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.7,16.1,7.7,299,0.079,121,0,9.2,33,0.849,0.055,5,17,0,0,0.363,2
16/05/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.2,14.6,7.2,295,0.076,125,0,9.5,32,0.845,0.053,4,15,0,0,0.347,2
17/05/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5,13.3,7.3,287,0.069,140,0,8.1,32,0.846,0.034,3,14,0,3,0.389,2
18/05/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.2,16.6,8.4,304,0.091,111,0,8.8,32,0.87,0.052,3,14,0,3,0.475,2
19/05/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.2,15.2,8.1,288,0.072,106,0,10.5,32,0.875,0.055,3,12,0,1,0.422,2
20/05/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4,16.9,6,265,0.064,119,0,10.4,33,0.846,0.054,4,15,0,1,0.369,2
21/05/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.2,12,6.7,237,0.067,118,0,10.8,34,0.856,0.044,4,13,0,1,0.377,2
22/05/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.8,15.3,7.9,351,0.157,149,0,10.9,37,0.858,0.033,3,17,0,1,0.451,2
23/05/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,3.9,13.6,8.5,287,0.072,100,0,13,37,0.852,0.047,4,12,0,0,0.366,2
24/05/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,6.9,14.7,8.7,279,0.07,141,0,11.9,44,0.868,0.05,4,17,0,1,0.449,2
25/05/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.5,14.6,7.4,290,0.074,106,0,12.2,44,0.886,0.055,4,16,0,1,0.49,2
26/05/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.3,15.4,7.8,324,0.092,143,2,13,42,0.897,0.056,3,16,0,0,0.492,2
27/05/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.2,14.4,8.4,279,0.064,115,0,14,43,0.877,0.038,4,17,0,1,0.437,2
28/05/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.1,16.9,7.1,296,0.101,119,0,12.7,48,0.873,,3,15,0,1,0.484,2
29/05/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.2,14.2,7.3,332,0.129,118,0,12.2,40,0.879,0.041,4,19,0,1,0.487,2
30/05/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.6,14.5,7.8,289,0.068,120,0,,34,0.889,0.054,4,14,0,1,0.448,2
31/05/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,6.8,17,6.9,288,0.074,129,0,11.9,39,0.875,0.054,2,13,0,1,0.45,2
01/06/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.4,15.7,7.8,263,0.037,110,0,12.8,41,0.87,0.038,2,16,0,6,0.47,2
02/06/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.8,17.6,8.4,307,0.09,128,0,13.5,38,0.853,0.047,4,17,0,0,0.387,2
03/06/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.6,13.5,7.4,244,0.073,104,0,14.3,41,0.837,0.047,4,15,0,1,0.383,2
04/06/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.1,16.6,7.1,222,0.063,122,0,11.4,42,0.856,0.049,4,14,0,0,0.389,2
05/06/2023,Monday,WGH,Westbridge General Hospital,Acute,620,6.2,15.9,6.9,365,0.119,108,0,11.9,44,0.883,0.061,4,13,0,3,0.581,3
06/06/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.7,15.8,6.7,287,0.074,119,0,12.5,40,0.877,0.049,4,15,0,5,0.525,3
07/06/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5.9,17,6.5,284,0.075,112,0,10.7,36,0.887,0.05,2,16,0,2,0.478,2
08/06/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.7,12.4,6,291,0.081,128,0,9.9,34,0.884,0.038,4,17,0,1,0.427,2
09/06/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.2,13,6.9,278,0.058,117,0,11.6,37,0.867,0.052,5,17,0,0,0.387,2
10/06/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,6.4,17.1,7.5,254,0.064,133,0,11.5,40,0.87,0.061,4,19,0,1,0.448,2
11/06/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.2,15.7,7.4,243,0.085,119,0,,40,0.889,0.048,3,15,0,0,0.452,2
12/06/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.8,13.9,7.3,340,0.111,154,0,9.2,42,0.883,0.058,2,14,0,2,0.537,3
13/06/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,6.1,19,6.7,306,0.097,129,0,,34,0.899,0.059,4,14,0,2,0.521,3
14/06/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.1,17.3,7.1,282,0.07,105,0,10.5,31,0.846,0.042,2,15,0,2,0.373,2
15/06/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,6.1,18.3,6.8,273,0.066,145,0,10.8,33,0.86,0.052,3,15,0,1,0.391,2
16/06/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.5,17,7.5,291,0.077,98,0,11.5,35,0.861,0.027,5,15,0,0,0.347,2
17/06/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.3,18.1,7,232,0.071,118,0,11.7,32,0.852,0.057,4,16,0,1,0.385,2
18/06/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.1,17.8,6.2,236,0.057,140,0,10.6,33,0.851,0.045,4,18,0,3,0.408,2
19/06/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.8,18.1,7.5,342,0.142,130,0,10.4,33,0.824,0.038,5,15,0,1,0.373,2
20/06/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.5,14.9,7.9,319,0.09,157,0,10.5,36,0.832,0.044,3,12,0,2,0.389,2
21/06/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,6,18.2,7.4,301,0.095,128,0,10.5,34,0.844,0.047,2,15,0,1,0.385,2
22/06/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.1,19.7,7.5,254,0.058,131,0,9.7,32,0.867,,4,13,0,1,0.374,2
23/06/2023,Friday,WGH,Westbridge General Hospital,Acute,620,3.8,18.1,6.6,298,0.08,141,0,10,30,0.854,0.046,4,15,0,1,0.372,2
24/06/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,3.9,20.5,5.8,231,0.057,131,0,9.8,34,0.839,0.044,3,19,0,1,0.341,2
25/06/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.5,18.2,6.7,226,0.067,118,0,10.7,41,0.835,0.037,3,20,0,1,0.36,2
26/06/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,20.4,7.8,318,0.104,149,0,9.6,34,0.855,0.043,3,15,0,1,0.405,2
27/06/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.8,17.7,7.1,337,0.102,116,0,11.1,36,0.861,0.047,4,15,0,0,0.402,2
28/06/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.3,18.7,6,285,0.08,117,0,12,32,0.85,0.034,3,16,0,3,0.405,2
29/06/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.6,18.3,7,288,0.062,111,0,10.8,32,0.857,0.049,3,12,0,2,0.399,2
30/06/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5,19.2,6.8,288,0.08,118,0,10.8,34,0.857,0.052,3,14,0,0,0.377,2
01/07/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.2,20,6.6,243,0.061,122,0,12.7,35,0.868,0.046,2,15,0,0,0.374,2
02/07/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.5,17.4,6.7,234,0.063,126,0,12,29,0.848,0.043,3,16,0,2,0.364,2
03/07/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.5,17.7,6.2,318,0.093,119,0,11.1,32,0.845,0.044,4,17,0,1,0.373,2
04/07/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,3.1,19.5,5.5,293,0.061,101,0,11.3,36,0.841,0.024,3,16,0,1,0.325,2
05/07/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5,18.9,6.7,267,0.074,118,0,10.9,32,0.82,0.039,3,18,0,1,0.308,2
06/07/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,6.1,17.5,6.3,297,0.077,146,0,11.2,31,0.833,0.044,4,16,0,2,0.36,2
07/07/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.1,18,6.6,319,0.094,130,0,10.5,32,0.843,0.036,4,14,0,1,0.358,2
08/07/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.9,19.2,7.4,232,0.056,138,0,10.1,31,0.842,0.052,4,19,0,0,0.32,2
09/07/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,6.1,21.2,7.3,237,0.061,124,0,10.5,31,0.837,0.039,2,11,0,2,0.346,2
10/07/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.8,17.5,6.8,342,0.132,126,1,10.3,32,0.821,0.055,4,17,0,2,0.407,2
11/07/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.2,18,6.6,297,0.089,131,0,10.2,27,0.822,,5,17,0,1,0.305,2
12/07/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,6.4,19.1,7,300,0.08,130,0,9.9,28,0.824,0.042,4,14,0,0,0.283,2
13/07/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,6.3,18.7,5.9,287,0.086,114,0,9.9,29,0.818,0.054,4,16,0,1,0.325,2
14/07/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.5,17.3,7.8,286,0.074,133,0,8.8,23,0.822,0.055,3,20,0,1,0.299,2
15/07/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,6.2,21.6,8.1,263,0.077,127,0,9.7,24,0.833,0.048,3,14,0,4,0.388,2
16/07/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.7,16.4,6,225,0.068,104,0,9.9,28,0.862,0.037,3,15,0,2,0.378,2
17/07/2023,Monday,WGH,Westbridge General Hospital,Acute,620,6.4,20.8,6.4,306,0.094,103,0,10.2,29,0.86,0.037,4,14,0,1,0.376,2
18/07/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5,21.2,7.7,292,0.07,128,0,9.3,30,0.859,0.053,4,15,0,1,0.382,2
19/07/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.8,18.7,7.2,271,0.076,117,0,9.5,28,0.853,,4,14,0,0,0.325,2
20/07/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.2,18.1,7.1,280,0.065,113,0,10.4,27,0.821,0.049,3,19,0,2,0.322,2
21/07/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.4,16.5,6.7,309,0.078,127,0,10,29,0.828,0.055,4,14,0,1,0.336,2
22/07/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.7,21.6,7.7,228,0.059,121,0,11.1,31,0.832,0.044,3,16,0,1,0.318,2
23/07/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.9,16.6,5.7,229,0.065,126,0,,32,0.871,0.042,4,17,0,1,0.39,2
24/07/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.8,18.8,7.6,318,0.079,131,0,12.4,38,0.864,0.057,4,17,0,0,0.411,2
25/07/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.7,19.1,7.3,292,0.075,128,0,11.2,35,0.864,0.053,3,13,0,1,0.415,2
26/07/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5.1,18.3,7,284,0.071,120,0,11.8,41,0.861,0.044,4,15,0,3,0.467,2
27/07/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.4,18.9,6.7,283,0.08,125,0,11,31,0.839,0.052,4,11,0,2,0.385,2
28/07/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.6,18.8,6.6,284,0.067,110,0,12.1,33,0.859,0.058,4,14,0,3,0.449,2
29/07/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.1,19.9,6.2,244,0.064,117,0,12.1,33,0.865,0.034,3,18,0,1,0.371,2
30/07/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.4,18.1,6.9,234,0.071,133,0,11.8,34,0.87,0.06,4,13,0,2,0.453,2
31/07/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.2,17.6,6.6,308,0.088,131,0,10.9,37,0.852,0.048,4,14,0,2,0.431,2
01/08/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.3,21,6.6,292,0.076,119,0,11.4,30,0.872,0.039,4,18,0,1,0.388,2
02/08/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.9,17.4,6.7,304,0.077,128,0,11.9,34,0.845,0.052,2,16,0,1,0.379,2
03/08/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.4,20.1,6.7,295,0.095,139,0,12.9,39,0.857,0.035,3,13,0,3,0.459,2
04/08/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5,20.6,6.3,293,0.07,107,0,11.5,37,0.889,0.041,3,15,0,1,0.442,2
05/08/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.1,15,6.5,231,0.068,136,0,9.4,34,0.861,0.05,4,14,0,0,0.37,2
06/08/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.1,13.7,6.8,242,0.062,112,0,8.6,25,0.845,0.045,4,18,0,3,0.37,2
07/08/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.1,16.4,6.3,333,0.101,102,0,9,24,0.848,0.047,3,14,0,3,0.406,2
08/08/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.9,17.4,7.3,303,0.095,129,0,8.9,26,0.841,0.046,4,15,0,1,0.346,2
09/08/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.6,17.5,6.9,266,0.073,110,0,10,29,0.819,0.056,3,17,0,2,0.343,2
10/08/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.4,18.1,5.6,267,0.052,134,0,11.4,34,0.829,0.058,4,13,0,0,0.316,2
11/08/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.8,18.6,7.7,316,0.09,125,0,12.1,31,0.821,0.054,5,14,0,0,0.316,2
12/08/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.6,17.2,7.2,242,0.061,119,0,11.5,32,0.835,0.056,4,14,0,0,0.322,2
13/08/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.9,17.5,7,240,0.053,102,0,,27,0.824,0.038,5,15,0,2,0.3,2
14/08/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,16,6.7,317,0.073,137,0,11.1,27,0.856,0.06,4,17,0,2,0.403,2
15/08/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.7,16.8,8.7,277,0.066,126,0,11.9,31,0.842,,4,14,0,3,0.385,2
16/08/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5.3,16.9,7.8,286,0.056,137,0,10.7,30,0.84,0.057,2,21,0,3,0.395,2
17/08/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.4,17.9,7.4,281,0.065,118,0,10.5,34,0.857,0.027,4,15,0,0,0.327,2
18/08/2023,Friday,WGH,Westbridge General Hospital,Acute,620,6.5,16.4,7.8,313,0.094,118,0,10,36,0.84,0.055,4,16,0,1,0.398,2
19/08/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.6,18,7.9,255,0.07,133,0,10.2,31,0.846,0.043,3,15,0,1,0.349,2
20/08/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,3.6,17,6.9,215,0.066,131,0,9,27,0.864,0.036,4,15,0,1,0.35,2
21/08/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.5,14.5,7.2,333,0.132,114,0,9.5,31,0.839,0.039,3,16,0,1,0.383,2
22/08/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.6,17.4,7.3,325,0.092,130,0,9.9,25,0.847,0.046,3,15,0,2,0.375,2
23/08/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.5,16.4,7.7,268,0.057,134,0,9.9,25,0.851,0.042,4,14,0,3,0.371,2
24/08/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5,19.5,8.2,260,0.069,110,0,10.4,28,0.863,0.054,4,14,0,1,0.381,2
25/08/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.3,16,5.2,348,0.105,132,0,10.1,29,0.845,,4,16,0,0,0.339,2
26/08/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.7,19.5,7,296,0.088,143,0,9.7,28,0.828,0.052,4,13,0,2,0.361,2
27/08/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.8,17,6.8,270,0.065,108,0,,29,0.844,0.04,2,15,0,2,0.354,2
28/08/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.4,15.9,8.8,423,0.218,140,1,10.6,31,0.858,0.043,2,19,0,1,0.493,2
29/08/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.7,13.7,7.9,314,0.071,115,0,10.6,27,0.863,0.062,4,15,0,1,0.391,2
30/08/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.1,14.8,6.9,278,0.072,127,0,,29,0.866,0.053,5,13,0,1,0.391,2
31/08/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.8,16.4,8,280,0.062,122,0,9.5,35,0.855,0.049,5,15,0,0,0.358,2
01/09/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.6,14.6,9.1,264,0.062,119,0,9.9,29,0.859,0.053,4,16,0,1,0.371,2
02/09/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,4.5,15.7,7.4,243,0.068,113,0,10.3,32,0.863,0.038,3,16,0,2,0.398,2
03/09/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,6.1,15.9,7.3,229,0.058,127,0,11.4,32,0.85,0.054,3,15,0,2,0.392,2
04/09/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,12.9,6.4,295,0.079,125,0,11.5,35,0.883,0.043,4,12,0,2,0.46,2
05/09/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5,13.7,7.2,311,0.094,134,0,12,45,0.889,0.056,4,14,0,4,0.592,3
06/09/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,3.9,15,6.5,289,0.077,117,0,9.3,39,0.866,0.048,4,13,0,2,0.453,2
07/09/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,5.1,16.5,7.1,251,0.071,89,0,9.4,31,0.874,0.044,4,16,0,2,0.423,2
08/09/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.9,13.4,7.3,300,0.094,121,0,9.6,35,0.858,0.059,4,14,0,1,0.43,2
09/09/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.3,16.8,8.2,223,0.074,108,0,9.9,34,0.871,0.073,4,15,0,3,0.502,3
10/09/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.2,15.3,8.2,236,0.072,113,0,10,29,0.884,0.056,4,18,0,2,0.451,2
11/09/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.3,13.7,7.2,356,0.133,142,0,11.2,33,0.87,0.051,4,15,0,2,0.487,2
12/09/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.2,16.4,7,293,0.067,110,0,11.8,37,0.886,0.056,4,18,0,2,0.482,2
13/09/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.7,14.5,6.4,291,0.065,106,0,,39,0.889,0.06,3,12,0,2,0.5,3
