date,day_of_week,trust_code,trust_name,trust_type,total_beds,flu_rate_per_100k,temperature_c,gp_appointment_lag_days,ae_attendance,ae_4hr_breach_pct,ae_mean_wait_mins,ae_12hr_trolley_waits,social_care_delay_days,nctr_patients,bed_occupancy_pct,nurse_sickness_pct,unfilled_shifts,ambulance_handover_avg_mins,ambulance_handover_over_60min,red_flag_incidents,pressure_score,opel_level,ae_pressure_index,bed_social_care_ratio,workforce_stress_index,system_flow_score,rag_status,,,date,WGH,NRI,SCH
11/04/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,7.7,8.5,250,0.132,120,0,13.8,36,0.917,0.062,3,18,0,3,0.661,3,0.4188,15.04907306,0.081,0.755942857,Amber,,,,,,
12/04/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,3.9,11.7,9,223,0.072,104,0,13.4,33,0.896,0.061,4,15,0,1,0.508,3,0.3568,14.95535714,0.097166667,0.752257143,Amber,,,,,,
13/04/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,3.9,8.1,8.8,191,0.057,104,0,14.2,35,0.889,0.037,3,16,0,2,0.484,2,0.3628,15.97300337,0.0685,0.757171429,Amber,,,,,,
14/04/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5.6,7.7,8.7,233,0.089,143,0,13.8,35,0.897,0.068,5,12,0,2,0.528,3,0.42435,15.38461538,0.117333333,0.752228571,Amber,,,,,,
15/04/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5,8.3,9.2,197,0.076,122,0,13.7,27,0.904,0.056,4,14,0,1,0.486,2,0.3449,15.15486726,0.094666667,0.764242857,Amber,,,,,,
16/04/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.8,8.5,7,160,0.052,124,0,13.2,27,0.889,0.028,4,13,0,1,0.399,2,0.3378,14.84814398,0.080666667,0.7036,Green,,,,,,
17/04/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.8,10.2,8.4,247,0.134,130,0,13.1,29,0.897,0.053,4,15,0,2,0.554,3,0.3901,14.60423634,0.093166667,0.7353,Amber,,,,,,
18/04/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.6,10.2,8.9,230,0.092,114,0,14.3,33,0.888,0.067,5,17,0,2,0.546,3,0.3773,16.1036036,0.116833333,0.760414286,Amber,,,,,,
19/04/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,6.6,11.2,10.5,238,0.107,156,0,12.4,31,0.884,0.06,3,12,0,0,0.481,2,0.4238,14.02714932,0.08,0.7646,Amber,,,,,,
20/04/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,5.5,9,8.7,241,0.102,142,0,12.5,29,0.869,0.06,4,15,0,1,0.466,2,0.3923,14.38434983,0.096666667,0.721528571,Amber,,,,,,
21/04/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5.1,12,8.4,230,0.092,126,0,13.8,29,0.864,0.054,3,16,0,1,0.44,2,0.3683,15.97222222,0.077,0.7326,Amber,,,,,,
22/04/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5,11,8.4,182,0.066,122,0,13.8,36,0.854,0.053,2,16,0,3,0.487,2,0.3949,16.15925059,0.059833333,0.7286,Amber,,,,,,
23/04/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.8,11.2,8.3,168,0.075,123,0,13.1,33,0.85,0.051,3,14,0,4,0.494,2,0.38175,15.41176471,0.0755,0.714357143,Amber,,,,,,
24/04/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,4.6,9.8,8.9,252,0.123,144,0,12.8,31,0.882,0.063,4,15,0,3,0.57,3,0.4152,14.51247166,0.098166667,0.735514286,Amber,,,,,,
25/04/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,10.8,8,218,0.077,106,0,14,30,0.872,0.042,4,14,0,0,0.403,2,0.3433,16.05504587,0.087666667,0.730228571,Amber,,,,,,
26/04/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.4,11.3,9.9,230,0.09,109,0,14.4,34,0.92,0.053,4,16,0,4,0.632,3,0.37625,15.65217391,0.093166667,0.796142857,Amber,,,,,,
27/04/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4,10.5,7.8,202,0.058,123,0,15.1,39,0.921,0.044,4,16,0,7,0.619,3,0.41095,16.39522258,0.088666667,0.762042857,Amber,,,,,,
28/04/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5,12.2,8.3,227,0.07,116,0,13.7,35,0.917,0.049,2,16,0,1,0.534,3,0.383,14.94002181,0.057833333,0.750157143,Amber,,,,,,
29/04/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.4,12.1,8,177,0.063,124,0,12,34,0.896,0.051,4,14,0,1,0.491,2,0.3842,13.39285714,0.092166667,0.709828571,Amber,,,,,,
30/04/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,6.2,10.3,10.1,178,0.069,107,0,11.5,30,0.903,0.055,3,18,0,1,0.493,2,0.34135,12.73532669,0.0775,0.750128571,Amber,,,,,,
01/05/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.2,10.7,9.1,311,0.13,159,0,11,25,0.894,0.058,4,17,0,1,0.507,3,0.40075,12.30425056,0.095666667,0.7176,Amber,,,,,,
02/05/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,6.1,11.9,9.5,215,0.072,133,0,11.6,24,0.892,0.046,4,16,0,2,0.457,2,0.33905,13.0044843,0.089666667,0.734371429,Amber,,,,,,
03/05/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.2,12.1,9,207,0.07,126,0,12.3,26,0.928,0.057,3,15,0,1,0.518,3,0.3415,13.25431034,0.0785,0.748557143,Amber,,,,,,
04/05/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,5.6,11.7,9.3,223,0.059,127,0,12.1,29,0.914,0.055,5,15,0,4,0.573,3,0.35635,13.23851204,0.110833333,0.746385714,Amber,,,,,,
05/05/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5.1,11.1,6.9,280,0.15,143,0,13.4,33,0.927,0.051,3,15,0,0,0.585,3,0.43675,14.45523193,0.0755,0.719657143,Amber,,,,,,
06/05/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.5,11.7,9.1,192,0.06,123,0,14.9,30,0.903,0.044,4,15,0,0,0.444,2,0.35775,16.50055371,0.088666667,0.7797,Amber,,,,,,
07/05/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.6,14,8.4,231,0.094,108,0,14.6,33,0.899,0.058,2,17,0,0,0.502,3,0.3706,16.24026696,0.062333333,0.7586,Amber,,,,,,
08/05/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,4.8,12.7,7.8,324,0.185,147,0,14.2,31,0.927,0.042,3,20,0,2,0.64,3,0.44375,15.31823085,0.071,0.750942857,Amber,,,,,,
09/05/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,13.2,8.3,220,0.09,122,0,13.5,34,0.906,0.07,4,16,0,1,0.559,3,0.3925,14.90066225,0.101666667,0.742757143,Amber,,,,,,
10/05/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.2,12.7,7.4,199,0.069,103,0,14.5,30,0.925,0.045,4,15,0,1,0.515,3,0.33635,15.67567568,0.089166667,0.746071429,Amber,,,,,,
11/05/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.4,14.6,8.5,182,0.066,108,0,13.2,30,0.921,0.041,3,16,0,3,0.549,3,0.3414,14.33224756,0.0705,0.748542857,Amber,,,,,,
12/05/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5,14.1,9.3,224,0.092,116,0,13.2,26,0.9,0.043,4,18,0,0,0.443,2,0.3378,14.66666667,0.088166667,0.757285714,Amber,,,,,,
13/05/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5.5,11,8.5,181,0.065,104,0,12,30,0.901,0.049,4,16,0,3,0.527,3,0.336,13.31853496,0.091166667,0.722542857,Amber,,,,,,
14/05/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.3,13.8,8.5,179,0.074,131,0,11.1,26,0.906,0.059,3,16,0,1,0.487,2,0.34935,12.25165563,0.0795,0.711042857,Amber,,,,,,
15/05/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.3,15.4,8.1,231,0.08,111,0,10.9,26,0.907,0.062,3,17,0,3,0.548,3,0.32675,12.01764057,0.081,0.699871429,Amber,,,,,,
16/05/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4,15.2,7.7,221,0.064,93,0,10.3,28,0.874,0.046,4,18,0,2,0.441,2,0.30985,11.78489703,0.089666667,0.6691,Amber,,,,,,
17/05/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.9,9.7,9.1,238,0.092,122,0,11.6,29,0.865,0.05,4,16,0,3,0.486,2,0.3633,13.41040462,0.091666667,0.715,Amber,,,,,,
18/05/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.7,14.4,5.1,204,0.07,115,0,11.2,25,0.862,0.053,4,12,0,0,0.371,2,0.32175,12.99303944,0.093166667,0.622085714,Green,,,,,,
19/05/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.7,13.9,8.3,218,0.081,98,0,10.1,19,0.862,0.062,4,14,0,1,0.388,2,0.2689,11.71693735,0.097666667,0.674157143,Green,,,,,,
20/05/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5.6,15.7,6.8,210,0.069,125,0,11.1,23,0.873,0.068,4,17,0,0,0.401,2,0.32185,12.71477663,0.100666667,0.661414286,Amber,,,,,,
21/05/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.9,12.1,8.3,146,0.086,138,0,11,24,0.87,0.045,4,15,0,4,0.481,2,0.3509,12.64367816,0.089166667,0.690857143,Amber,,,,,,
22/05/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.3,13.9,8.9,248,0.105,151,1,11.2,28,0.852,0.054,3,16,0,1,0.426,2,0.39875,13.14553991,0.077,0.699514286,Amber,,,,,,
23/05/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,13.5,7.5,244,0.112,140,0,11,29,0.865,0.049,3,13,0,0,0.426,2,0.3938,12.71676301,0.0745,0.671714286,Amber,,,,,,
24/05/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.6,14.1,8.6,219,0.083,125,0,12.5,32,0.877,0.062,3,15,0,2,0.507,3,0.38145,14.25313569,0.081,0.722585714,Amber,,,,,,
25/05/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,5.5,16.1,9.1,217,0.079,110,0,14.3,32,0.885,0.048,3,14,0,1,0.471,2,0.3611,16.15819209,0.074,0.7635,Amber,,,,,,
26/05/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.4,18,8,280,0.167,166,2,11.9,28,0.899,0.039,4,18,0,2,0.559,3,0.4423,13.23692992,0.086166667,0.709528571,Amber,,,,,,
27/05/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.3,14.3,7.2,204,0.059,106,0,11.6,25,0.901,0.037,3,13,0,5,0.503,3,0.3061,12.8745838,0.0685,0.688685714,Amber,,,,,,
28/05/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.7,15.9,7.5,198,0.07,128,0,11.7,30,0.897,0.057,4,16,0,1,0.487,2,0.368,13.04347826,0.095166667,0.695014286,Amber,,,,,,
29/05/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.3,15.9,7.8,266,0.11,123,0,11.6,36,0.892,0.049,3,15,0,2,0.556,3,0.41375,13.0044843,0.0745,0.697942857,Amber,,,,,,
30/05/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,5.1,14.8,7.2,244,0.123,133,0,12,29,0.861,0.054,4,16,0,0,0.436,2,0.38945,13.93728223,0.093666667,0.678685714,Amber,,,,,,
31/05/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5,16.5,6.9,218,0.087,115,0,11,28,0.869,0.053,3,18,0,1,0.438,2,0.34655,12.65822785,0.0765,0.660457143,Amber,,,,,,
01/06/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.4,12.9,7.4,208,0.055,100,0,11,30,0.871,0.047,4,15,0,1,0.416,2,0.327,12.62916188,0.090166667,0.671971429,Amber,,,,,,
02/06/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.8,15.5,7.9,231,0.096,122,0,9.8,29,0.874,0.03,3,14,0,0,0.399,2,0.3649,11.21281465,0.065,0.665885714,Green,,,,,,
03/06/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.8,15.9,6.7,180,0.061,119,0,9.8,28,0.85,0.044,3,16,0,0,0.346,2,0.34115,11.52941176,0.072,0.630571429,Green,,,,,,
04/06/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.4,18.4,6.9,187,0.058,96,0,10.5,28,0.836,0.041,3,14,0,3,0.391,2,0.3112,12.55980861,0.0705,0.639757143,Green,,,,,,
05/06/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,4.8,15.5,6.4,240,0.06,121,1,12.8,28,0.861,0.047,2,13,0,2,0.418,2,0.34325,14.86643438,0.056833333,0.673542857,Amber,,,,,,
06/06/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,6.2,16,7.6,213,0.077,116,0,9.6,23,0.859,0.054,3,12,0,1,0.388,2,0.3138,11.1757858,0.077,0.650457143,Green,,,,,,
07/06/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,6,19.4,6.3,228,0.093,119,0,9.6,25,0.87,0.048,5,16,0,0,0.384,2,0.33595,11.03448276,0.107333333,0.627,Green,,,,,,
08/06/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.8,16.5,8,211,0.056,118,0,9.6,28,0.867,0.047,3,13,0,2,0.425,2,0.3379,11.07266436,0.0735,0.662228571,Amber,,,,,,
09/06/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.9,13.9,7.1,211,0.077,115,0,10.2,23,0.864,0.044,3,20,0,5,0.457,2,0.31255,11.80555556,0.072,0.650742857,Amber,,,,,,
10/06/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.7,16.1,7.7,175,0.067,126,0,10.6,29,0.875,0.057,4,17,0,3,0.492,2,0.3583,12.11428571,0.095166667,0.674,Amber,,,,,,
11/06/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,6,15.6,7.9,174,0.058,103,0,10.6,30,0.861,0.051,4,13,0,0,0.383,2,0.33195,12.31126597,0.092166667,0.672685714,Green,,,,,,
12/06/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.2,17.3,7.5,234,0.08,132,0,12,27,0.862,0.063,4,16,0,2,0.455,2,0.359,13.92111369,0.098166667,0.685514286,Amber,,,,,,
13/06/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,5.2,18.2,7.2,243,0.108,110,0,11.4,32,0.857,0.054,3,16,0,3,0.508,3,0.3727,13.30221704,0.077,0.668085714,Amber,,,,,,
14/06/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.2,17,6.1,215,0.085,130,0,11.1,23,0.849,0.047,3,18,0,2,0.393,2,0.3345,13.07420495,0.0735,0.636814286,Green,,,,,,
15/06/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.6,17.4,6.5,215,0.08,113,0,10.8,25,0.846,0.048,4,17,0,0,0.346,2,0.32325,12.76595745,0.090666667,0.639685714,Green,,,,,,
16/06/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.4,16.2,6,211,0.065,117,0,11.5,26,0.852,0.048,2,15,0,0,0.348,2,0.32825,13.49765258,0.057333333,0.641871429,Green,,,,,,
17/06/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.6,16.8,5.6,187,0.055,121,0,10.7,23,0.843,0.046,3,14,0,4,0.406,2,0.31125,12.69276394,0.073,0.6177,Amber,,,,,,
18/06/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.3,20.4,7.5,170,0.076,125,0,9.8,23,0.862,0.031,3,15,0,2,0.383,2,0.32465,11.36890951,0.0655,0.652514286,Green,,,,,,
19/06/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,6.9,20.2,8.2,247,0.148,135,0,10,23,0.847,0.051,3,12,0,1,0.423,2,0.36595,11.80637544,0.0755,0.664514286,Amber,,,,,,
20/06/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,19.1,7.7,228,0.077,136,0,10.1,23,0.845,0.06,4,17,0,1,0.374,2,0.3388,11.95266272,0.096666667,0.6545,Green,,,,,,
21/06/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.9,18.6,7.8,198,0.056,128,0,9.8,25,0.84,0.037,2,16,0,3,0.374,2,0.3324,11.66666667,0.051833333,0.650142857,Green,,,,,,
22/06/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,5.2,10.8,7.2,192,0.051,96,0,8.3,24,0.9125,0.036,3,13,0,3,0.401,2,0.2844,9.095890411,0.068,0.643785714,Amber,,,,,,
23/06/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,6,17.5,8.1,215,0.057,103,0,8.4,24,0.862,0.044,3,14,0,3,0.417,2,0.29555,9.744779582,0.072,0.644371429,Amber,,,,,,
24/06/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5,17.6,7.6,180,0.072,130,0,8.9,20,0.871,0.054,4,18,0,2,0.413,2,0.3113,10.21814007,0.093666667,0.644757143,Amber,,,,,,
25/06/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.3,16.2,6.2,189,0.064,108,0,9,18,0.839,0.042,4,17,0,0,0.275,2,0.2686,10.72705602,0.087666667,0.603457143,Green,,,,,,
26/06/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.1,18.3,7,227,0.061,112,0,9.3,22,0.846,0.05,3,15,0,1,0.342,2,0.2964,10.9929078,0.075,0.6279,Green,,,,,,
27/06/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,5,16.2,6,222,0.086,112,0,9.4,25,0.861,0.046,3,15,0,3,0.448,2,0.3244,10.91753775,0.073,0.613971429,Amber,,,,,,
28/06/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.2,16.9,7.7,206,0.079,121,0,10.4,33,0.861,0.045,3,15,0,1,0.432,2,0.38085,12.07897793,0.0725,0.6654,Amber,,,,,,
29/06/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,7.2,17.9,6.6,209,0.068,133,0,10.3,34,0.876,0.05,3,14,0,1,0.46,2,0.39745,11.75799087,0.075,0.646328571,Amber,,,,,,
30/06/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,3.7,13.9,7,194,0.064,114,0,11,26,0.859,0.044,4,17,0,1,0.378,2,0.3241,12.80558789,0.088666667,0.6586,Green,,,,,,
01/07/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5.3,18.3,6.6,173,0.063,137,0,10,21,0.874,0.046,5,19,0,0,0.354,2,0.32245,11.4416476,0.106333333,0.641028571,Green,,,,,,
02/07/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.8,19.3,6.2,159,0.065,139,0,10.5,24,0.897,0.051,4,16,0,1,0.442,2,0.34375,11.70568562,0.092166667,0.649157143,Amber,,,,,,
03/07/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,5.5,20,6,259,0.15,134,0,9.8,22,0.879,0.067,5,16,0,3,0.547,3,0.3595,11.14903299,0.116833333,0.627171429,Amber,,,,,,
04/07/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.2,19.5,6.4,227,0.079,134,0,9.8,27,0.864,0.034,4,16,0,2,0.414,2,0.3611,11.34259259,0.083666667,0.629742857,Amber,,,,,,
05/07/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.8,19.7,6.4,214,0.073,109,0,10.3,30,0.882,0.037,3,11,0,2,0.459,2,0.34545,11.67800454,0.0685,0.644442857,Amber,,,,,,
06/07/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.9,19.6,6.2,215,0.061,130,0,10,27,0.896,0.043,3,16,0,2,0.466,2,0.3489,11.16071429,0.0715,0.641257143,Amber,,,,,,
07/07/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.8,18,6.6,228,0.084,121,0,9.9,24,0.874,0.058,3,14,0,1,0.43,2,0.32885,11.32723112,0.079,0.639528571,Amber,,,,,,
08/07/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,4.8,18.4,5.5,193,0.069,105,0,8.1,20,0.857,0.062,4,12,0,1,0.375,2,0.27885,9.451575263,0.097666667,0.582157143,Green,,,,,,
09/07/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.5,17.8,6.7,157,0.062,111,0,7.9,20,0.845,0.049,4,14,0,2,0.354,2,0.28355,9.349112426,0.091166667,0.600071429,Green,,,,,,
10/07/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,6,21.5,6.8,239,0.088,134,0,8.2,24,0.827,0.055,3,15,0,0,0.326,2,0.3467,9.915356711,0.0775,0.599514286,Green,,,,,,
11/07/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.3,16.3,6.9,236,0.113,119,1,9,22,0.819,0.033,3,17,0,1,0.315,2,0.32595,10.98901099,0.0665,0.610457143,Green,,,,,,
12/07/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,4.5,14.5,4.9,232,0.069,125,0,10.3,24,0.813,0.05,4,15,0,1,0.304,2,0.32785,12.66912669,0.091666667,0.5847,Green,,,,,,
13/07/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.4,18.1,6.6,229,0.09,91,0,10.5,21,0.811,0.038,3,13,0,2,0.31,2,0.27575,12.94697904,0.069,0.623328571,Green,,,,,,
14/07/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,6.6,19.2,5,231,0.094,108,0,11.4,23,0.822,0.053,4,15,0,0,0.314,2,0.3106,13.86861314,0.093166667,0.606942857,Green,,,,,,
15/07/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,6.9,21.1,6.5,167,0.067,109,0,11.4,22,0.829,0.057,4,13,0,1,0.329,2,0.29505,13.75150784,0.095166667,0.641885714,Green,,,,,,
16/07/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.8,17.9,6.6,173,0.069,120,0,10.6,22,0.855,0.049,3,17,0,0,0.337,2,0.3096,12.39766082,0.0745,0.642428571,Green,,,,,,
17/07/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,3.9,18.1,6.9,264,0.134,128,0,12,25,0.84,0.057,3,18,0,0,0.394,2,0.3636,14.28571429,0.0785,0.663857143,Green,,,,,,
18/07/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4,19.1,5.4,241,0.091,146,0,12.4,24,0.858,0.041,3,16,0,4,0.459,2,0.3629,14.45221445,0.0705,0.644914286,Amber,,,,,,
19/07/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.4,19.6,5.9,230,0.092,128,0,12.2,23,0.852,0.045,5,13,0,0,0.351,2,0.3348,14.31924883,0.105833333,0.650228571,Green,,,,,,
20/07/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,5.5,18.3,6.9,206,0.07,138,0,12.2,28,0.85,0.036,3,16,0,2,0.391,2,0.3685,14.35294118,0.068,0.670857143,Green,,,,,,
21/07/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,5.1,19.2,6.8,243,0.102,107,0,10.8,31,0.863,0.049,4,11,0,1,0.45,2,0.36055,12.51448436,0.091166667,0.652914286,Amber,,,,,,
22/07/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5,17.4,7,185,0.075,113,0,11.2,30,0.841,0.039,3,17,0,0,0.346,2,0.35125,13.31747919,0.0695,0.6544,Green,,,,,,
23/07/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,4.1,17.3,7.5,183,0.058,120,0,11.7,30,0.849,0.046,4,15,0,1,0.38,2,0.3532,13.78091873,0.089666667,0.675814286,Green,,,,,,
24/07/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,4.1,19.2,6.4,221,0.07,134,0,9.5,24,0.851,0.051,4,18,0,0,0.345,2,0.3395,11.16333725,0.092166667,0.620042857,Green,,,,,,
25/07/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.7,18.7,6.6,225,0.073,137,0,11,20,0.856,0.055,3,16,0,2,0.391,2,0.32045,12.85046729,0.0775,0.648828571,Green,,,,,,
